                 Step     Time          Energy          fmax
LBFGSLineSearch:   18 16:55:05     -906.629514        0.189670
LBFGSLineSearch:   19 16:55:06     -906.673380        0.077007
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:55:07     -905.077375        0.593160
LBFGSLineSearch:    1 16:55:08     -905.831611        0.236729
LBFGSLineSearch:    2 16:55:08     -905.940764        0.278434
LBFGSLineSearch:    3 16:55:09     -906.004613        0.208869
LBFGSLineSearch:    4 16:55:10     -906.094700        0.196488
LBFGSLineSearch:    5 16:55:11     -906.193159        0.165774
LBFGSLineSearch:    6 16:55:12     -906.218813        0.195179
LBFGSLineSearch:    7 16:55:13     -906.285549        0.168938
LBFGSLineSearch:    8 16:55:14     -906.332687        0.175225
LBFGSLineSearch:    9 16:55:15     -906.345551        0.152688
LBFGSLineSearch:   10 16:55:16     -906.380385        0.150077
LBFGSLineSearch:   11 16:55:17     -906.395132        0.148232
LBFGSLineSearch:   12 16:55:18     -906.450752        0.145598
LBFGSLineSearch:   13 16:55:19     -906.467307        0.200479
LBFGSLineSearch:   14 16:55:20     -906.509350        0.130923
LBFGSLineSearch:   15 16:55:21     -906.523908        0.183621
LBFGSLineSearch:   16 16:55:22     -906.588918        0.131890
LBFGSLineSearch:   17 16:55:23     -906.617725        0.107671
LBFGSLineSearch:   18 16:55:23     -906.645277        0.108158
LBFGSLineSearch:   19 16:55:24     -906.661159        0.131657
LBFGSLineSearch:   20 16:55:25     -906.675207        0.120158
LBFGSLineSearch:   21 16:55:26     -906.701284        0.150004
LBFGSLineSearch:   22 16:55:27     -906.719976        0.099771
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:55:27     -905.152616        0.601086
LBFGSLineSearch:    1 16:55:28     -905.899758        0.230228
LBFGSLineSearch:    2 16:55:29     -906.016323        0.242025
LBFGSLineSearch:    3 16:55:29     -906.075450        0.181224
LBFGSLineSearch:    4 16:55:30     -906.161243        0.223543
LBFGSLineSearch:    5 16:55:32     -906.245654        0.170454
LBFGSLineSearch:    6 16:55:32     -906.269162        0.192270
LBFGSLineSearch:    7 16:55:33     -906.325595        0.169201
LBFGSLineSearch:    8 16:55:35     -906.367560        0.167098
LBFGSLineSearch:    9 16:55:35     -906.379088        0.147302
LBFGSLineSearch:   10 16:55:36     -906.409842        0.146962
LBFGSLineSearch:   11 16:55:38     -906.462511        0.209635
